Base,Base Name,Date,Number of trips,Number of Vehicles
B01300,KENNEDY RAD DISP INC,2015-01-02,705,108
B01312,BROOKLYN RAD DISP INC,2015-01-02,506,96
B01313,JOY CAR SERVICES INC.,2015-01-02,8,8
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-02,1592,143
B01341,A NEW DAY RAD DISP INC,2015-01-02,1062,138
b01346,ARECIBO C/S INC,2015-01-02,684,106
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-02,52,23
B01386,FENIX CAR SVCE CORP,2015-01-02,2170,183
B01522,"STM ENTERPRISES,INC",2015-01-02,66,14
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-02,411,56
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-02,677,131
B01877,U.S.A. LIMO. INC.,2015-01-02,76,43
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-02,726,88
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-02,1,1
B01984,NY 88 EXPRESS CORP.,2015-01-02,448,85
B01990,SUK INCORPORATED,2015-01-02,22,9
B02003,"AVALON CORPORATE CAR,INC.",2015-01-02,41,33
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-02,11,7
B02096,"CET GROUP, INC",2015-01-02,7,7
B02107,APOLLO RADIO DISPATCH INC.,2015-01-02,806,87
B02120,HARRISON GLOBAL LLC,2015-01-02,123,56
B02147,"MITA LIMOUSINE, INC.",2015-01-02,8,4
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-02,12,12
B02285,"VALERA GLOBAL, INC.",2015-01-02,38,29
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-02,15,7
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-02,6,3
B02566,GSL LIMOUSINES CORP.,2015-01-02,7,5
B02569,GOGREENRIDE INC.,2015-01-02,49,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-02,1122,111
B02715,GROUNDANYWHERE LLC,2015-01-02,114,53
B00013,LOVE CORP CAR INC,2015-01-03,62,34
B00014,NY ONE CORP CAR INC,2015-01-03,126,62
B00029,COMMUNITY CAR SVC CORP,2015-01-03,1127,43
B00053,CHARGE AND RIDE INC,2015-01-03,21,18
B00095,LIBERTY CAR SERVICE INC.,2015-01-03,1053,82
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-03,345,64
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-03,75,48
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-03,964,125
B00254,XYZ TWO WAY RADIO,2015-01-03,267,114
B00280,FLEET RADIO DISPATCH CORP.,2015-01-03,103,43
B00310,WATSON CAR SERVICE INC.,2015-01-03,1804,151
B00381,BELL RADIO INC,2015-01-03,58,27
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-03,135,29
B00448,DIAL CAR INC.,2015-01-03,1,1
B00457,PREMIUM BRONX CORP,2015-01-03,1333,117
B00477,INTA-BORO ACRES INC,2015-01-03,93,46
B00552,HINO-MARU ENTERPRISES INC.,2015-01-03,9,7
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-03,6,3
B00837,CAREY LIMO N Y INC,2015-01-03,161,61
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-03,2033,616
B00919,HARLEM CARS INC.,2015-01-03,718,68
B00948,510 CAR SERVICE CORP,2015-01-03,722,59
B01020,MICHAELS CAR SERVICE INC.,2015-01-03,1,1
B01066,DOMINICANA RAD DISP INC,2015-01-03,829,88
B01083,BROAD DYCKMAN C/S INC,2015-01-03,846,83
B01087,ELITE LIMO PLUS INC,2015-01-03,160,82
B01148,EVELYN CAR SERVICE INC,2015-01-03,528,56
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-03,53,33
B01282,NEW LOTS C/S INC,2015-01-03,1042,67
B01285,UNION RADIO DISPATCH INC,2015-01-03,1546,147
B01300,KENNEDY RAD DISP INC,2015-01-03,853,115
B01312,BROOKLYN RAD DISP INC,2015-01-03,444,75
B01313,JOY CAR SERVICES INC.,2015-01-03,5,5
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-03,1584,140
B01341,A NEW DAY RAD DISP INC,2015-01-03,1004,137
b01346,ARECIBO C/S INC,2015-01-03,840,114
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-03,32,19
B01386,FENIX CAR SVCE CORP,2015-01-03,2720,192
B01522,"STM ENTERPRISES,INC",2015-01-03,81,15
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-03,387,52
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-03,826,122
B01877,U.S.A. LIMO. INC.,2015-01-03,75,49
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-03,874,83
B01984,NY 88 EXPRESS CORP.,2015-01-03,238,69
B01990,SUK INCORPORATED,2015-01-03,32,13
B02003,"AVALON CORPORATE CAR,INC.",2015-01-03,42,28
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-03,12,5
B02096,"CET GROUP, INC",2015-01-03,4,4
B02107,APOLLO RADIO DISPATCH INC.,2015-01-03,836,86
B02120,HARRISON GLOBAL LLC,2015-01-03,82,36
B02147,"MITA LIMOUSINE, INC.",2015-01-03,24,5
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-03,6,6
B02285,"VALERA GLOBAL, INC.",2015-01-03,56,30
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-03,13,6
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-03,5,2
B02566,GSL LIMOUSINES CORP.,2015-01-03,1,1
B02569,GOGREENRIDE INC.,2015-01-03,56,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-03,1281,110
B02715,GROUNDANYWHERE LLC,2015-01-03,136,51
B00013,LOVE CORP CAR INC,2015-01-04,76,42
B00014,NY ONE CORP CAR INC,2015-01-04,108,61
B00029,COMMUNITY CAR SVC CORP,2015-01-04,1230,39
B00053,CHARGE AND RIDE INC,2015-01-04,16,14
B00095,LIBERTY CAR SERVICE INC.,2015-01-04,733,76
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-04,224,50
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-04,118,61
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-04,877,108
B00254,XYZ TWO WAY RADIO,2015-01-04,310,140
B00280,FLEET RADIO DISPATCH CORP.,2015-01-04,69,35
B00310,WATSON CAR SERVICE INC.,2015-01-04,1539,131
B00381,BELL RADIO INC,2015-01-04,71,34
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-04,102,22
B00448,DIAL CAR INC.,2015-01-04,2,2
B00457,PREMIUM BRONX CORP,2015-01-04,1082,98
B00477,INTA-BORO ACRES INC,2015-01-04,104,51
B00552,HINO-MARU ENTERPRISES INC.,2015-01-04,18,12
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-04,3,1
B00837,CAREY LIMO N Y INC,2015-01-04,206,74
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-04,2197,653
B00919,HARLEM CARS INC.,2015-01-04,556,70
B00948,510 CAR SERVICE CORP,2015-01-04,578,57
B01066,DOMINICANA RAD DISP INC,2015-01-04,713,83
B01083,BROAD DYCKMAN C/S INC,2015-01-04,805,84
B01087,ELITE LIMO PLUS INC,2015-01-04,149,91
B01148,EVELYN CAR SERVICE INC,2015-01-04,447,55
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-04,36,23
B01282,NEW LOTS C/S INC,2015-01-04,943,64
B01285,UNION RADIO DISPATCH INC,2015-01-04,1374,136
B01300,KENNEDY RAD DISP INC,2015-01-04,759,109
B01312,BROOKLYN RAD DISP INC,2015-01-04,442,79
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-04,1382,130
B01341,A NEW DAY RAD DISP INC,2015-01-04,741,106
b01346,ARECIBO C/S INC,2015-01-04,668,108
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-04,37,23
B01386,FENIX CAR SVCE CORP,2015-01-04,2107,176
B01522,"STM ENTERPRISES,INC",2015-01-04,62,12
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-04,378,51
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-04,688,114
B01877,U.S.A. LIMO. INC.,2015-01-04,103,53
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-04,767,72
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-04,1,1
B01984,NY 88 EXPRESS CORP.,2015-01-04,60,30
B01990,SUK INCORPORATED,2015-01-04,38,14
B02003,"AVALON CORPORATE CAR,INC.",2015-01-04,48,36
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-04,25,11
B02096,"CET GROUP, INC",2015-01-04,3,3
B02107,APOLLO RADIO DISPATCH INC.,2015-01-04,683,79
B02120,HARRISON GLOBAL LLC,2015-01-04,103,46
B02147,"MITA LIMOUSINE, INC.",2015-01-04,26,7
B02285,"VALERA GLOBAL, INC.",2015-01-04,48,28
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-04,11,6
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-04,3,2
B02566,GSL LIMOUSINES CORP.,2015-01-04,4,4
B02569,GOGREENRIDE INC.,2015-01-04,50,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-04,1069,108
B02715,GROUNDANYWHERE LLC,2015-01-04,138,52
B00013,LOVE CORP CAR INC,2015-01-05,292,99
B00014,NY ONE CORP CAR INC,2015-01-05,441,144
B00029,COMMUNITY CAR SVC CORP,2015-01-05,1174,46
B00053,CHARGE AND RIDE INC,2015-01-05,72,50
B00095,LIBERTY CAR SERVICE INC.,2015-01-05,399,77
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-05,524,79
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-05,326,134
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-05,1176,126
B00254,XYZ TWO WAY RADIO,2015-01-05,942,296
B00280,FLEET RADIO DISPATCH CORP.,2015-01-05,222,81
B00310,WATSON CAR SERVICE INC.,2015-01-05,1664,142
B00381,BELL RADIO INC,2015-01-05,220,76
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-05,348,76
B00448,DIAL CAR INC.,2015-01-05,7,4
B00457,PREMIUM BRONX CORP,2015-01-05,1112,116
B00477,INTA-BORO ACRES INC,2015-01-05,440,147
B00552,HINO-MARU ENTERPRISES INC.,2015-01-05,22,17
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-05,16,6
B00837,CAREY LIMO N Y INC,2015-01-05,313,116
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-05,2427,761
B00919,HARLEM CARS INC.,2015-01-05,587,68
B00948,510 CAR SERVICE CORP,2015-01-05,595,61
B01066,DOMINICANA RAD DISP INC,2015-01-05,685,87
B01083,BROAD DYCKMAN C/S INC,2015-01-05,798,97
B01087,ELITE LIMO PLUS INC,2015-01-05,559,230
B01148,EVELYN CAR SERVICE INC,2015-01-05,397,58
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-05,202,69
B01282,NEW LOTS C/S INC,2015-01-05,1080,70
B01285,UNION RADIO DISPATCH INC,2015-01-05,1264,149
B01300,KENNEDY RAD DISP INC,2015-01-05,802,113
B01312,BROOKLYN RAD DISP INC,2015-01-05,865,106
B01313,JOY CAR SERVICES INC.,2015-01-05,11,11
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-05,1287,141
B01341,A NEW DAY RAD DISP INC,2015-01-05,1194,153
b01346,ARECIBO C/S INC,2015-01-05,773,113
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-05,190,63
B01386,FENIX CAR SVCE CORP,2015-01-05,1985,184
B01522,"STM ENTERPRISES,INC",2015-01-05,87,15
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-05,386,50
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-05,673,126
B01877,U.S.A. LIMO. INC.,2015-01-05,257,105
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-05,1200,111
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-05,45,23
B01984,NY 88 EXPRESS CORP.,2015-01-05,479,94
B01990,SUK INCORPORATED,2015-01-05,78,32
B02003,"AVALON CORPORATE CAR,INC.",2015-01-05,147,75
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-05,65,26
B02096,"CET GROUP, INC",2015-01-05,19,13
B02107,APOLLO RADIO DISPATCH INC.,2015-01-05,692,87
B02120,HARRISON GLOBAL LLC,2015-01-05,213,76
B02147,"MITA LIMOUSINE, INC.",2015-01-05,42,10
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-05,10,10
B02285,"VALERA GLOBAL, INC.",2015-01-05,139,72
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-05,16,8
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-05,20,7
B02566,GSL LIMOUSINES CORP.,2015-01-05,6,5
B02569,GOGREENRIDE INC.,2015-01-05,122,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-05,1015,110
B02715,GROUNDANYWHERE LLC,2015-01-05,195,60
B00013,LOVE CORP CAR INC,2015-01-06,414,107
B00014,NY ONE CORP CAR INC,2015-01-06,593,159
B00029,COMMUNITY CAR SVC CORP,2015-01-06,1181,50
B00053,CHARGE AND RIDE INC,2015-01-06,94,53
B00095,LIBERTY CAR SERVICE INC.,2015-01-06,420,79
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-06,553,76
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-06,417,141
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-06,1082,125
B00254,XYZ TWO WAY RADIO,2015-01-06,1199,288
B00280,FLEET RADIO DISPATCH CORP.,2015-01-06,213,77
B00310,WATSON CAR SERVICE INC.,2015-01-06,1762,148
B00381,BELL RADIO INC,2015-01-06,285,82
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-06,347,74
B00448,DIAL CAR INC.,2015-01-06,7,5
B00457,PREMIUM BRONX CORP,2015-01-06,1259,112
B00477,INTA-BORO ACRES INC,2015-01-06,493,140
B00552,HINO-MARU ENTERPRISES INC.,2015-01-06,29,23
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-06,15,7
B00837,CAREY LIMO N Y INC,2015-01-06,381,141
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-06,2246,682
B00919,HARLEM CARS INC.,2015-01-06,621,71
B00948,510 CAR SERVICE CORP,2015-01-06,608,61
B01066,DOMINICANA RAD DISP INC,2015-01-06,747,84
B01083,BROAD DYCKMAN C/S INC,2015-01-06,773,91
B01087,ELITE LIMO PLUS INC,2015-01-06,759,228
B01148,EVELYN CAR SERVICE INC,2015-01-06,393,56
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-06,265,83
B01282,NEW LOTS C/S INC,2015-01-06,955,67
B01285,UNION RADIO DISPATCH INC,2015-01-06,1309,146
B01300,KENNEDY RAD DISP INC,2015-01-06,733,112
B01312,BROOKLYN RAD DISP INC,2015-01-06,930,103
B01313,JOY CAR SERVICES INC.,2015-01-06,13,13
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-06,1438,145
B01341,A NEW DAY RAD DISP INC,2015-01-06,1476,157
b01346,ARECIBO C/S INC,2015-01-06,842,107
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-06,214,67
B01386,FENIX CAR SVCE CORP,2015-01-06,2251,191
B01522,"STM ENTERPRISES,INC",2015-01-06,88,16
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-06,369,53
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-06,708,123
B01877,U.S.A. LIMO. INC.,2015-01-06,369,120
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-06,1240,123
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-06,55,25
B01984,NY 88 EXPRESS CORP.,2015-01-06,475,91
B01990,SUK INCORPORATED,2015-01-06,104,25
B02003,"AVALON CORPORATE CAR,INC.",2015-01-06,198,74
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-06,88,27
B02096,"CET GROUP, INC",2015-01-06,11,8
B02107,APOLLO RADIO DISPATCH INC.,2015-01-06,743,88
B02120,HARRISON GLOBAL LLC,2015-01-06,242,90
B02147,"MITA LIMOUSINE, INC.",2015-01-06,36,8
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-06,8,8
B02285,"VALERA GLOBAL, INC.",2015-01-06,201,76
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-06,14,8
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-06,15,4
B02566,GSL LIMOUSINES CORP.,2015-01-06,8,7
B02569,GOGREENRIDE INC.,2015-01-06,151,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-06,1116,105
B02715,GROUNDANYWHERE LLC,2015-01-06,233,68
B00013,LOVE CORP CAR INC,2015-01-07,412,106
B00014,NY ONE CORP CAR INC,2015-01-07,638,164
B00029,COMMUNITY CAR SVC CORP,2015-01-07,814,44
B00053,CHARGE AND RIDE INC,2015-01-07,117,63
B00095,LIBERTY CAR SERVICE INC.,2015-01-07,447,82
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-07,546,76
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-07,473,152
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-07,1097,130
B00254,XYZ TWO WAY RADIO,2015-01-07,1312,304
B00280,FLEET RADIO DISPATCH CORP.,2015-01-07,240,81
B00310,WATSON CAR SERVICE INC.,2015-01-07,1723,146
B00381,BELL RADIO INC,2015-01-07,314,84
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-07,403,80
B00448,DIAL CAR INC.,2015-01-07,5,3
B00457,PREMIUM BRONX CORP,2015-01-07,1373,114
B00477,INTA-BORO ACRES INC,2015-01-07,556,139
B00552,HINO-MARU ENTERPRISES INC.,2015-01-07,38,26
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-07,22,8
B00837,CAREY LIMO N Y INC,2015-01-07,387,146
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-07,2136,683
B00919,HARLEM CARS INC.,2015-01-07,491,71
B00948,510 CAR SERVICE CORP,2015-01-07,605,60
B01066,DOMINICANA RAD DISP INC,2015-01-07,720,82
B01083,BROAD DYCKMAN C/S INC,2015-01-07,849,94
B01087,ELITE LIMO PLUS INC,2015-01-07,843,247
B01148,EVELYN CAR SERVICE INC,2015-01-07,500,63
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-07,273,82
B01282,NEW LOTS C/S INC,2015-01-07,1064,70
B01285,UNION RADIO DISPATCH INC,2015-01-07,1377,154
B01300,KENNEDY RAD DISP INC,2015-01-07,810,115
B01312,BROOKLYN RAD DISP INC,2015-01-07,1108,103
B01313,JOY CAR SERVICES INC.,2015-01-07,14,14
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-07,1475,149
B01341,A NEW DAY RAD DISP INC,2015-01-07,1571,163
b01346,ARECIBO C/S INC,2015-01-07,905,111
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-07,237,69
B01386,FENIX CAR SVCE CORP,2015-01-07,2371,193
B01522,"STM ENTERPRISES,INC",2015-01-07,98,15
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-07,346,54
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-07,763,131
B01877,U.S.A. LIMO. INC.,2015-01-07,400,127
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-07,1291,118
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-07,52,19
B01984,NY 88 EXPRESS CORP.,2015-01-07,515,101
B01990,SUK INCORPORATED,2015-01-07,142,35
B02003,"AVALON CORPORATE CAR,INC.",2015-01-07,209,69
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-07,77,25
B02096,"CET GROUP, INC",2015-01-07,28,17
B02107,APOLLO RADIO DISPATCH INC.,2015-01-07,807,86
B02120,HARRISON GLOBAL LLC,2015-01-07,305,94
B02147,"MITA LIMOUSINE, INC.",2015-01-07,28,8
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-07,9,9
B02285,"VALERA GLOBAL, INC.",2015-01-07,241,86
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-07,14,8
