Base,Base Name,Date,Number of trips,Number of Vehicles
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-17,2,2
B00837,CAREY LIMO N Y INC,2015-01-17,131,56
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-17,1681,610
B00919,HARLEM CARS INC.,2015-01-17,659,70
B00948,510 CAR SERVICE CORP,2015-01-17,743,62
B01066,DOMINICANA RAD DISP INC,2015-01-17,871,84
B01083,BROAD DYCKMAN C/S INC,2015-01-17,1021,100
B01087,ELITE LIMO PLUS INC,2015-01-17,172,101
B01148,EVELYN CAR SERVICE INC,2015-01-17,576,60
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-17,86,42
B01282,NEW LOTS C/S INC,2015-01-17,1205,77
B01285,UNION RADIO DISPATCH INC,2015-01-17,1781,166
B01300,KENNEDY RAD DISP INC,2015-01-17,937,132
B01312,BROOKLYN RAD DISP INC,2015-01-17,483,79
B01313,JOY CAR SERVICES INC.,2015-01-17,14,11
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-17,1793,150
B01341,A NEW DAY RAD DISP INC,2015-01-17,1061,131
b01346,ARECIBO C/S INC,2015-01-17,1048,121
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-17,57,31
B01386,FENIX CAR SVCE CORP,2015-01-17,3075,200
B01522,"STM ENTERPRISES,INC",2015-01-17,77,15
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-17,449,55
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-17,974,145
B01877,U.S.A. LIMO. INC.,2015-01-17,65,38
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-17,838,80
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-17,1,1
B01984,NY 88 EXPRESS CORP.,2015-01-17,277,75
B01990,SUK INCORPORATED,2015-01-17,76,27
B02003,"AVALON CORPORATE CAR,INC.",2015-01-17,53,29
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-17,28,12
B02096,"CET GROUP, INC",2015-01-17,5,5
B02107,APOLLO RADIO DISPATCH INC.,2015-01-17,949,89
B02120,HARRISON GLOBAL LLC,2015-01-17,90,40
B02147,"MITA LIMOUSINE, INC.",2015-01-17,28,7
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-17,16,16
B02285,"VALERA GLOBAL, INC.",2015-01-17,41,22
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-17,22,8
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-17,1,1
B02566,GSL LIMOUSINES CORP.,2015-01-17,3,3
B02569,GOGREENRIDE INC.,2015-01-17,72,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-17,1368,110
B02715,GROUNDANYWHERE LLC,2015-01-17,101,43
B00013,LOVE CORP CAR INC,2015-01-18,59,34
B00014,NY ONE CORP CAR INC,2015-01-18,167,71
B00029,COMMUNITY CAR SVC CORP,2015-01-18,937,38
B00053,CHARGE AND RIDE INC,2015-01-18,17,11
B00095,LIBERTY CAR SERVICE INC.,2015-01-18,1098,73
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-18,316,55
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-18,130,61
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-18,977,102
B00254,XYZ TWO WAY RADIO,2015-01-18,317,131
B00280,FLEET RADIO DISPATCH CORP.,2015-01-18,183,66
B00310,WATSON CAR SERVICE INC.,2015-01-18,1871,122
B00381,BELL RADIO INC,2015-01-18,69,31
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-18,151,44
B00457,PREMIUM BRONX CORP,2015-01-18,1405,94
B00477,INTA-BORO ACRES INC,2015-01-18,150,57
B00552,HINO-MARU ENTERPRISES INC.,2015-01-18,18,13
B00837,CAREY LIMO N Y INC,2015-01-18,155,61
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-18,1626,541
B00919,HARLEM CARS INC.,2015-01-18,706,69
B00948,510 CAR SERVICE CORP,2015-01-18,644,59
B01066,DOMINICANA RAD DISP INC,2015-01-18,840,79
B01083,BROAD DYCKMAN C/S INC,2015-01-18,1018,85
B01087,ELITE LIMO PLUS INC,2015-01-18,158,83
B01148,EVELYN CAR SERVICE INC,2015-01-18,560,52
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-18,49,21
B01282,NEW LOTS C/S INC,2015-01-18,942,72
B01285,UNION RADIO DISPATCH INC,2015-01-18,1626,142
B01300,KENNEDY RAD DISP INC,2015-01-18,907,112
B01312,BROOKLYN RAD DISP INC,2015-01-18,708,80
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-18,1424,127
B01341,A NEW DAY RAD DISP INC,2015-01-18,992,109
b01346,ARECIBO C/S INC,2015-01-18,1046,107
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-18,35,17
B01386,FENIX CAR SVCE CORP,2015-01-18,2987,185
B01522,"STM ENTERPRISES,INC",2015-01-18,99,13
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-18,362,44
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-18,960,116
B01877,U.S.A. LIMO. INC.,2015-01-18,68,39
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-18,691,83
B01984,NY 88 EXPRESS CORP.,2015-01-18,81,41
B01990,SUK INCORPORATED,2015-01-18,40,16
B02003,"AVALON CORPORATE CAR,INC.",2015-01-18,34,22
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-18,15,10
B02096,"CET GROUP, INC",2015-01-18,6,5
B02107,APOLLO RADIO DISPATCH INC.,2015-01-18,1219,78
B02120,HARRISON GLOBAL LLC,2015-01-18,130,58
B02147,"MITA LIMOUSINE, INC.",2015-01-18,16,7
B02285,"VALERA GLOBAL, INC.",2015-01-18,64,28
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-18,15,5
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-18,9,2
B02566,GSL LIMOUSINES CORP.,2015-01-18,2,2
B02569,GOGREENRIDE INC.,2015-01-18,62,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-18,1563,93
B02715,GROUNDANYWHERE LLC,2015-01-18,110,41
B00013,LOVE CORP CAR INC,2015-01-19,106,53
B00014,NY ONE CORP CAR INC,2015-01-19,244,99
B00029,COMMUNITY CAR SVC CORP,2015-01-19,986,45
B00053,CHARGE AND RIDE INC,2015-01-19,37,24
B00095,LIBERTY CAR SERVICE INC.,2015-01-19,625,77
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-19,358,71
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-19,262,110
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-19,965,127
B00254,XYZ TWO WAY RADIO,2015-01-19,557,218
B00280,FLEET RADIO DISPATCH CORP.,2015-01-19,142,60
B00310,WATSON CAR SERVICE INC.,2015-01-19,1313,144
B00381,BELL RADIO INC,2015-01-19,85,44
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-19,238,58
B00448,DIAL CAR INC.,2015-01-19,1,1
B00457,PREMIUM BRONX CORP,2015-01-19,856,102
B00477,INTA-BORO ACRES INC,2015-01-19,240,100
B00552,HINO-MARU ENTERPRISES INC.,2015-01-19,24,17
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-19,9,5
B00837,CAREY LIMO N Y INC,2015-01-19,338,119
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-19,2149,681
B00919,HARLEM CARS INC.,2015-01-19,433,65
B00948,510 CAR SERVICE CORP,2015-01-19,464,57
B01066,DOMINICANA RAD DISP INC,2015-01-19,613,81
B01083,BROAD DYCKMAN C/S INC,2015-01-19,648,90
B01087,ELITE LIMO PLUS INC,2015-01-19,300,154
B01148,EVELYN CAR SERVICE INC,2015-01-19,366,48
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-19,153,56
B01282,NEW LOTS C/S INC,2015-01-19,872,69
B01285,UNION RADIO DISPATCH INC,2015-01-19,1090,147
B01300,KENNEDY RAD DISP INC,2015-01-19,602,107
B01312,BROOKLYN RAD DISP INC,2015-01-19,598,103
B01313,JOY CAR SERVICES INC.,2015-01-19,28,21
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-19,1173,134
B01341,A NEW DAY RAD DISP INC,2015-01-19,787,126
b01346,ARECIBO C/S INC,2015-01-19,594,103
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-19,81,41
B01386,FENIX CAR SVCE CORP,2015-01-19,1904,182
B01522,"STM ENTERPRISES,INC",2015-01-19,69,13
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-19,302,52
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-19,557,120
B01877,U.S.A. LIMO. INC.,2015-01-19,150,74
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-19,841,79
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-19,10,7
B01984,NY 88 EXPRESS CORP.,2015-01-19,375,87
B01990,SUK INCORPORATED,2015-01-19,42,18
B02003,"AVALON CORPORATE CAR,INC.",2015-01-19,110,50
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-19,48,24
B02096,"CET GROUP, INC",2015-01-19,5,4
B02107,APOLLO RADIO DISPATCH INC.,2015-01-19,542,81
B02120,HARRISON GLOBAL LLC,2015-01-19,224,87
B02147,"MITA LIMOUSINE, INC.",2015-01-19,20,8
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-19,39,38
B02285,"VALERA GLOBAL, INC.",2015-01-19,96,52
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-19,13,6
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-19,14,4
B02566,GSL LIMOUSINES CORP.,2015-01-19,7,5
B02569,GOGREENRIDE INC.,2015-01-19,88,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-19,876,99
B02715,GROUNDANYWHERE LLC,2015-01-19,175,65
B00013,LOVE CORP CAR INC,2015-01-20,395,115
B00014,NY ONE CORP CAR INC,2015-01-20,601,175
B00029,COMMUNITY CAR SVC CORP,2015-01-20,1108,53
B00053,CHARGE AND RIDE INC,2015-01-20,91,53
B00095,LIBERTY CAR SERVICE INC.,2015-01-20,705,81
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-20,571,86
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-20,552,166
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-20,1035,132
B00254,XYZ TWO WAY RADIO,2015-01-20,1299,307
B00280,FLEET RADIO DISPATCH CORP.,2015-01-20,279,87
B00310,WATSON CAR SERVICE INC.,2015-01-20,1374,150
B00381,BELL RADIO INC,2015-01-20,313,89
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-20,451,93
B00448,DIAL CAR INC.,2015-01-20,3,2
B00457,PREMIUM BRONX CORP,2015-01-20,994,114
B00477,INTA-BORO ACRES INC,2015-01-20,555,149
B00552,HINO-MARU ENTERPRISES INC.,2015-01-20,41,30
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-20,14,6
B00837,CAREY LIMO N Y INC,2015-01-20,518,176
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-20,2191,707
B00919,HARLEM CARS INC.,2015-01-20,534,62
B00948,510 CAR SERVICE CORP,2015-01-20,532,62
B01066,DOMINICANA RAD DISP INC,2015-01-20,658,81
B01083,BROAD DYCKMAN C/S INC,2015-01-20,728,101
B01087,ELITE LIMO PLUS INC,2015-01-20,887,258
B01148,EVELYN CAR SERVICE INC,2015-01-20,406,60
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-20,347,94
B01282,NEW LOTS C/S INC,2015-01-20,1038,78
B01285,UNION RADIO DISPATCH INC,2015-01-20,1173,160
B01300,KENNEDY RAD DISP INC,2015-01-20,729,126
B01312,BROOKLYN RAD DISP INC,2015-01-20,790,115
B01313,JOY CAR SERVICES INC.,2015-01-20,22,19
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-20,1349,146
B01341,A NEW DAY RAD DISP INC,2015-01-20,1294,166
b01346,ARECIBO C/S INC,2015-01-20,674,114
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-20,242,73
B01386,FENIX CAR SVCE CORP,2015-01-20,1926,197
B01522,"STM ENTERPRISES,INC",2015-01-20,92,15
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-20,352,54
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-20,719,134
B01877,U.S.A. LIMO. INC.,2015-01-20,454,135
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-20,1310,125
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-20,55,29
B01984,NY 88 EXPRESS CORP.,2015-01-20,498,99
B01990,SUK INCORPORATED,2015-01-20,116,31
B02003,"AVALON CORPORATE CAR,INC.",2015-01-20,260,86
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-20,92,29
B02096,"CET GROUP, INC",2015-01-20,27,19
B02107,APOLLO RADIO DISPATCH INC.,2015-01-20,558,87
B02120,HARRISON GLOBAL LLC,2015-01-20,302,99
B02147,"MITA LIMOUSINE, INC.",2015-01-20,42,10
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-20,12,12
B02285,"VALERA GLOBAL, INC.",2015-01-20,223,83
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-20,20,8
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-20,22,7
B02566,GSL LIMOUSINES CORP.,2015-01-20,11,9
B02569,GOGREENRIDE INC.,2015-01-20,151,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-20,937,110
B02715,GROUNDANYWHERE LLC,2015-01-20,276,83
B00013,LOVE CORP CAR INC,2015-01-21,453,116
B00014,NY ONE CORP CAR INC,2015-01-21,698,176
B00029,COMMUNITY CAR SVC CORP,2015-01-21,744,50
B00053,CHARGE AND RIDE INC,2015-01-21,96,58
B00095,LIBERTY CAR SERVICE INC.,2015-01-21,708,81
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-21,594,89
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-21,551,165
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-21,1048,133
B00254,XYZ TWO WAY RADIO,2015-01-21,1380,318
B00280,FLEET RADIO DISPATCH CORP.,2015-01-21,334,93
B00310,WATSON CAR SERVICE INC.,2015-01-21,1448,150
B00381,BELL RADIO INC,2015-01-21,320,88
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-21,438,96
B00448,DIAL CAR INC.,2015-01-21,5,2
B00457,PREMIUM BRONX CORP,2015-01-21,974,111
B00477,INTA-BORO ACRES INC,2015-01-21,664,154
B00552,HINO-MARU ENTERPRISES INC.,2015-01-21,51,32
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-21,22,10
B00837,CAREY LIMO N Y INC,2015-01-21,533,185
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-21,2087,717
B00919,HARLEM CARS INC.,2015-01-21,473,68
B00948,510 CAR SERVICE CORP,2015-01-21,534,60
B01066,DOMINICANA RAD DISP INC,2015-01-21,568,82
B01083,BROAD DYCKMAN C/S INC,2015-01-21,803,111
B01087,ELITE LIMO PLUS INC,2015-01-21,986,263
B01148,EVELYN CAR SERVICE INC,2015-01-21,418,57
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-21,331,89
B01282,NEW LOTS C/S INC,2015-01-21,1041,76
B01285,UNION RADIO DISPATCH INC,2015-01-21,1166,155
B01300,KENNEDY RAD DISP INC,2015-01-21,698,129
B01312,BROOKLYN RAD DISP INC,2015-01-21,843,115
B01313,JOY CAR SERVICES INC.,2015-01-21,8,8
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-21,1421,143
B01341,A NEW DAY RAD DISP INC,2015-01-21,1242,167
b01346,ARECIBO C/S INC,2015-01-21,732,116
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-21,236,71
B01386,FENIX CAR SVCE CORP,2015-01-21,1896,192
B01522,"STM ENTERPRISES,INC",2015-01-21,88,14
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-21,330,55
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-21,728,133
B01877,U.S.A. LIMO. INC.,2015-01-21,475,131
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-21,1289,114
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-21,66,30
B01984,NY 88 EXPRESS CORP.,2015-01-21,556,97
B01990,SUK INCORPORATED,2015-01-21,130,35
B02003,"AVALON CORPORATE CAR,INC.",2015-01-21,257,87
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-21,114,32
B02096,"CET GROUP, INC",2015-01-21,44,34
B02107,APOLLO RADIO DISPATCH INC.,2015-01-21,596,83
B02120,HARRISON GLOBAL LLC,2015-01-21,323,99
B02147,"MITA LIMOUSINE, INC.",2015-01-21,58,13
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-21,15,15
B02285,"VALERA GLOBAL, INC.",2015-01-21,263,88
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-21,12,6
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-21,23,7
B02566,GSL LIMOUSINES CORP.,2015-01-21,13,11
B02569,GOGREENRIDE INC.,2015-01-21,139,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-21,887,108
B02715,GROUNDANYWHERE LLC,2015-01-21,290,83
B00013,LOVE CORP CAR INC,2015-01-22,441,111
B00014,NY ONE CORP CAR INC,2015-01-22,766,180
B00029,COMMUNITY CAR SVC CORP,2015-01-22,761,53
B00053,CHARGE AND RIDE INC,2015-01-22,119,57
B00095,LIBERTY CAR SERVICE INC.,2015-01-22,723,85
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-22,569,85
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-22,622,165
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-22,1022,134
B00254,XYZ TWO WAY RADIO,2015-01-22,1534,326
B00280,FLEET RADIO DISPATCH CORP.,2015-01-22,340,91
B00310,WATSON CAR SERVICE INC.,2015-01-22,1490,152
B00381,BELL RADIO INC,2015-01-22,334,89
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-22,458,86
B00448,DIAL CAR INC.,2015-01-22,5,2
B00457,PREMIUM BRONX CORP,2015-01-22,1025,117
B00477,INTA-BORO ACRES INC,2015-01-22,610,156
B00552,HINO-MARU ENTERPRISES INC.,2015-01-22,41,25
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-22,21,9
B00837,CAREY LIMO N Y INC,2015-01-22,517,171
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-22,2377,750
B00919,HARLEM CARS INC.,2015-01-22,513,67
B00948,510 CAR SERVICE CORP,2015-01-22,547,64
B01066,DOMINICANA RAD DISP INC,2015-01-22,611,85
B01083,BROAD DYCKMAN C/S INC,2015-01-22,827,112
B01087,ELITE LIMO PLUS INC,2015-01-22,946,266
B01148,EVELYN CAR SERVICE INC,2015-01-22,463,60
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-22,348,92
B01282,NEW LOTS C/S INC,2015-01-22,1077,80
B01285,UNION RADIO DISPATCH INC,2015-01-22,1238,154
B01300,KENNEDY RAD DISP INC,2015-01-22,723,130
B01312,BROOKLYN RAD DISP INC,2015-01-22,823,114
B01313,JOY CAR SERVICES INC.,2015-01-22,20,18
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-22,1440,145
B01341,A NEW DAY RAD DISP INC,2015-01-22,1242,164
b01346,ARECIBO C/S INC,2015-01-22,694,115
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-22,259,76
B01386,FENIX CAR SVCE CORP,2015-01-22,1863,199
B01522,"STM ENTERPRISES,INC",2015-01-22,87,15
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-22,370,55
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-22,670,141
B01877,U.S.A. LIMO. INC.,2015-01-22,425,139
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-22,1319,124
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-22,65,30
B01984,NY 88 EXPRESS CORP.,2015-01-22,518,97
B01990,SUK INCORPORATED,2015-01-22,170,41
B02003,"AVALON CORPORATE CAR,INC.",2015-01-22,254,87
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-22,113,31
B02096,"CET GROUP, INC",2015-01-22,23,18
B02107,APOLLO RADIO DISPATCH INC.,2015-01-22,640,91
B02120,HARRISON GLOBAL LLC,2015-01-22,340,106
B02147,"MITA LIMOUSINE, INC.",2015-01-22,50,11
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-22,10,10
B02285,"VALERA GLOBAL, INC.",2015-01-22,295,89
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-22,15,7
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-22,22,6
B02566,GSL LIMOUSINES CORP.,2015-01-22,11,10
B02569,GOGREENRIDE INC.,2015-01-22,167,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-22,920,115
B02715,GROUNDANYWHERE LLC,2015-01-22,316,82
B00013,LOVE CORP CAR INC,2015-01-23,292,101
B00014,NY ONE CORP CAR INC,2015-01-23,508,167
B00029,COMMUNITY CAR SVC CORP,2015-01-23,1371,51
B00053,CHARGE AND RIDE INC,2015-01-23,69,43
B00095,LIBERTY CAR SERVICE INC.,2015-01-23,883,86
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-23,600,85
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-23,539,162
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-23,1048,132
B00254,XYZ TWO WAY RADIO,2015-01-23,1173,298
B00280,FLEET RADIO DISPATCH CORP.,2015-01-23,313,90
B00310,WATSON CAR SERVICE INC.,2015-01-23,1853,152
B00381,BELL RADIO INC,2015-01-23,240,83
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-23,321,78
B00448,DIAL CAR INC.,2015-01-23,3,1
B00457,PREMIUM BRONX CORP,2015-01-23,1271,123
B00477,INTA-BORO ACRES INC,2015-01-23,524,150
B00552,HINO-MARU ENTERPRISES INC.,2015-01-23,32,25
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-23,18,9
B00837,CAREY LIMO N Y INC,2015-01-23,443,156
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-23,2402,759
B00919,HARLEM CARS INC.,2015-01-23,651,70
B00948,510 CAR SERVICE CORP,2015-01-23,645,60
B01066,DOMINICANA RAD DISP INC,2015-01-23,765,83
B01083,BROAD DYCKMAN C/S INC,2015-01-23,956,116
B01087,ELITE LIMO PLUS INC,2015-01-23,648,243
B01148,EVELYN CAR SERVICE INC,2015-01-23,489,62
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-23,269,88
B01282,NEW LOTS C/S INC,2015-01-23,1285,80
B01285,UNION RADIO DISPATCH INC,2015-01-23,1527,162
B01300,KENNEDY RAD DISP INC,2015-01-23,875,134
B01312,BROOKLYN RAD DISP INC,2015-01-23,672,111
B01313,JOY CAR SERVICES INC.,2015-01-23,21,14
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-23,1634,146
B01341,A NEW DAY RAD DISP INC,2015-01-23,1485,172
b01346,ARECIBO C/S INC,2015-01-23,835,119
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-23,194,71
B01386,FENIX CAR SVCE CORP,2015-01-23,2607,206
B01522,"STM ENTERPRISES,INC",2015-01-23,84,15
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-23,405,56
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-23,843,149
B01877,U.S.A. LIMO. INC.,2015-01-23,283,121
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-23,1251,123
B01949,FIRST CLASS OF NEW YORK INC.,2015-01-23,31,17
B01984,NY 88 EXPRESS CORP.,2015-01-23,522,99
B01990,SUK INCORPORATED,2015-01-23,138,37
B02003,"AVALON CORPORATE CAR,INC.",2015-01-23,182,75
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-23,77,29
B02096,"CET GROUP, INC",2015-01-23,17,14
B02107,APOLLO RADIO DISPATCH INC.,2015-01-23,766,95
B02120,HARRISON GLOBAL LLC,2015-01-23,275,92
B02147,"MITA LIMOUSINE, INC.",2015-01-23,56,12
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-01-23,11,11
B02285,"VALERA GLOBAL, INC.",2015-01-23,178,77
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-23,23,6
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-23,14,6
B02566,GSL LIMOUSINES CORP.,2015-01-23,7,6
B02569,GOGREENRIDE INC.,2015-01-23,159,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-23,1184,111
B02715,GROUNDANYWHERE LLC,2015-01-23,250,75
B00013,LOVE CORP CAR INC,2015-01-24,99,50
B00014,NY ONE CORP CAR INC,2015-01-24,157,80
B00029,COMMUNITY CAR SVC CORP,2015-01-24,1137,44
B00053,CHARGE AND RIDE INC,2015-01-24,28,23
B00095,LIBERTY CAR SERVICE INC.,2015-01-24,1066,83
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-24,318,71
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-24,150,66
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-24,889,111
B00254,XYZ TWO WAY RADIO,2015-01-24,388,134
B00280,FLEET RADIO DISPATCH CORP.,2015-01-24,146,56
B00310,WATSON CAR SERVICE INC.,2015-01-24,1747,149
B00381,BELL RADIO INC,2015-01-24,71,32
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-24,138,32
B00448,DIAL CAR INC.,2015-01-24,1,1
B00457,PREMIUM BRONX CORP,2015-01-24,1203,115
B00477,INTA-BORO ACRES INC,2015-01-24,182,71
B00552,HINO-MARU ENTERPRISES INC.,2015-01-24,17,15
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-24,1,1
B00837,CAREY LIMO N Y INC,2015-01-24,176,66
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-24,1342,432
B00919,HARLEM CARS INC.,2015-01-24,724,67
B00948,510 CAR SERVICE CORP,2015-01-24,642,57
B01066,DOMINICANA RAD DISP INC,2015-01-24,843,80
B01083,BROAD DYCKMAN C/S INC,2015-01-24,1049,105
B01087,ELITE LIMO PLUS INC,2015-01-24,171,91
B01148,EVELYN CAR SERVICE INC,2015-01-24,511,56
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-24,76,35
B01282,NEW LOTS C/S INC,2015-01-24,971,74
B01285,UNION RADIO DISPATCH INC,2015-01-24,1515,159
B01300,KENNEDY RAD DISP INC,2015-01-24,849,126
B01312,BROOKLYN RAD DISP INC,2015-01-24,434,76
B01313,JOY CAR SERVICES INC.,2015-01-24,12,12
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-24,1464,141
B01341,A NEW DAY RAD DISP INC,2015-01-24,1057,133
b01346,ARECIBO C/S INC,2015-01-24,892,122
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-24,48,22
B01386,FENIX CAR SVCE CORP,2015-01-24,3006,202
B01522,"STM ENTERPRISES,INC",2015-01-24,74,11
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-24,432,52
