Base,Date,Number of trips
B02765,2015-05-24,6614
B02765,2015-06-30,6605
B02765,2015-03-22,6561
B02765,2015-03-03,6505
B02765,2015-04-12,6496
B02765,2015-05-11,6484
B02765,2015-06-08,6461
B02765,2015-03-10,6449
B02765,2015-04-21,6430
B02765,2015-03-12,6408
B02765,2015-02-19,6393
B02765,2015-05-26,6383
B02765,2015-03-05,6355
B02765,2015-02-24,6333
B02765,2015-02-14,6322
B02765,2015-04-15,6257
B02765,2015-03-18,6253
B02765,2015-04-27,6201
B02765,2015-02-25,6180
B02765,2015-04-14,6138
B02765,2015-03-04,6137
B02765,2015-06-29,6114
B02765,2015-04-05,6095
B02765,2015-05-04,6092
B02765,2015-03-30,6037
B02765,2015-03-01,6010
B02765,2015-06-22,5996
B02765,2015-03-15,5971
B02765,2015-03-24,5865
B02765,2015-02-13,5854
B02765,2015-02-23,5799
B02765,2015-03-11,5785
B02765,2015-04-13,5744
B02765,2015-03-17,5741
B02765,2015-03-23,5741
B02765,2015-05-25,5699
B02765,2015-04-06,5594
B02765,2015-02-15,5418
B02765,2015-03-08,5336
B02765,2015-03-16,5271
B02765,2015-02-18,5024
B02765,2015-03-02,4972
B02765,2015-02-22,4957
B02765,2015-02-16,4887
B02765,2015-03-09,4871
B02765,2015-02-17,4834
B02765,2015-02-12,4581
B02765,2015-02-11,3766
B02765,2015-02-06,3544
B02765,2015-02-10,3438
B02765,2015-02-07,3432
B02765,2015-01-31,3287
B02765,2015-02-05,2990
B02765,2015-02-09,2842
B02765,2015-01-30,2750
B02765,2015-02-01,2618
B02765,2015-02-08,2615
B02765,2015-02-02,2590
B02765,2015-01-24,2400
B02765,2015-02-03,2357
B02765,2015-01-18,2304
B02765,2015-02-04,2286
B02765,2015-01-10,2231
B02765,2015-01-23,2171
B02765,2015-01-17,2170
B02765,2015-01-16,2135
B02765,2015-01-29,2087
B02765,2015-01-09,2078
B02765,2015-01-22,2032
B02765,2015-01-08,1920
B02765,2015-01-28,1916
B02765,2015-01-01,1807
B02765,2015-01-15,1800
B02765,2015-01-21,1777
B02765,2015-01-25,1766
B02765,2015-01-12,1728
B02765,2015-01-13,1723
B02765,2015-01-07,1722
B02765,2015-01-11,1664
B02765,2015-01-20,1631
B02765,2015-01-14,1597
B02765,2015-01-19,1565
B02765,2015-01-03,1556
B02765,2015-01-26,1366
B02765,2015-01-06,1349
B02765,2015-01-05,1109
B02765,2015-01-02,1019
B02765,2015-01-04,1011
B02765,2015-01-27,937
B02835,2015-06-27,2470
B02835,2015-06-26,1827
B02835,2015-06-30,1793
B02835,2015-06-28,1740
B02835,2015-06-25,1546
B02835,2015-06-29,1391
B02835,2015-06-24,1364
B02835,2015-06-20,1294
B02835,2015-06-23,1139
B02835,2015-06-19,1123
B02835,2015-06-21,993
B02835,2015-06-22,958
B02835,2015-06-18,948
B02835,2015-06-17,854
B02835,2015-06-16,704
B02835,2015-06-13,653
B02835,2015-06-14,632
B02835,2015-06-15,534
B02835,2015-06-12,509
B02835,2015-06-11,413
B02835,2015-06-10,398
B02835,2015-06-06,380
B02835,2015-06-05,373
B02835,2015-06-09,362
B02835,2015-06-03,348
B02835,2015-06-01,345
B02835,2015-06-02,345
B02835,2015-06-04,343
B02835,2015-06-07,342
B02835,2015-06-08,300
B02836,2015-06-27,103
B02836,2015-06-13,98
B02836,2015-06-06,82
B02836,2015-06-14,82
B02836,2015-06-07,81
B02836,2015-06-16,80
B02836,2015-06-20,80
B02836,2015-06-21,77
B02836,2015-06-28,76
B02836,2015-06-02,75
B02836,2015-06-19,75
B02836,2015-06-26,74
B02836,2015-06-12,73
B02836,2015-06-01,71
B02836,2015-06-11,71
B02836,2015-06-23,68
B02836,2015-06-10,67
B02836,2015-06-25,62
B02836,2015-06-04,60
B02836,2015-06-15,58
B02836,2015-06-24,57
B02836,2015-06-17,54
B02836,2015-06-05,52
B02836,2015-06-22,51
B02836,2015-06-29,48
B02836,2015-06-08,47
B02836,2015-06-30,46
B02836,2015-06-09,42
B02836,2015-06-03,40
B02836,2015-06-18,40
