Base,Date,Number of trips
B02598,2015-06-27,9879
B02598,2015-01-24,9795
B02598,2015-02-11,9701
B02598,2015-01-16,9589
B02598,2015-02-24,9498
B02598,2015-04-23,9406
B02598,2015-01-17,9379
B02598,2015-01-09,9360
B02598,2015-03-20,9316
B02598,2015-01-18,9309
B02598,2015-01-29,9234
B02598,2015-02-04,9230
B02598,2015-02-03,9206
B02598,2015-02-01,9157
B02598,2015-02-18,9129
B02598,2015-01-23,9127
B02598,2015-02-17,9120
B02598,2015-02-25,9087
B02598,2015-02-02,9079
B02598,2015-01-15,8922
B02598,2015-03-06,8916
B02598,2015-05-15,8909
B02598,2015-03-14,8866
B02598,2015-04-18,8831
B02598,2015-05-14,8821
B02598,2015-01-22,8755
B02598,2015-02-16,8716
B02598,2015-05-02,8716
B02598,2015-02-23,8621
B02598,2015-06-11,8595
B02598,2015-01-14,8574
B02598,2015-05-21,8533
B02598,2015-05-09,8479
B02598,2015-05-28,8479
B02598,2015-04-17,8478
B02598,2015-03-28,8476
B02598,2015-04-26,8465
B02598,2015-02-10,8434
B02598,2015-06-18,8412
B02598,2015-01-13,8388
B02598,2015-06-12,8376
B02598,2015-04-16,8334
B02598,2015-04-30,8331
B02598,2015-05-01,8328
B02598,2015-05-29,8328
B02598,2015-06-02,8324
B02598,2015-03-05,8295
B02598,2015-06-05,8274
B02598,2015-03-27,8230
B02598,2015-05-20,8222
B02598,2015-06-04,8191
B02598,2015-03-26,8186
B02598,2015-01-07,8168
B02598,2015-05-08,8168
B02598,2015-03-07,8141
B02598,2015-04-22,8110
B02598,2015-05-30,8105
B02598,2015-04-10,8083
B02598,2015-06-01,8074
B02598,2015-06-25,8049
B02598,2015-05-07,8035
B02598,2015-03-13,7999
B02598,2015-04-11,7995
B02598,2015-06-13,7992
B02598,2015-02-22,7987
B02598,2015-04-02,7980
B02598,2015-06-19,7924
B02598,2015-05-13,7913
B02598,2015-04-20,7910
B02598,2015-06-06,7904
B02598,2015-02-09,7891
B02598,2015-02-08,7875
B02598,2015-03-12,7869
B02598,2015-06-17,7856
B02598,2015-03-31,7849
B02598,2015-03-19,7843
B02598,2015-05-17,7808
B02598,2015-05-19,7779
B02598,2015-04-09,7769
B02598,2015-01-21,7767
B02598,2015-01-28,7748
B02598,2015-06-26,7737
B02598,2015-05-27,7734
B02598,2015-01-12,7726
B02598,2015-03-21,7705
B02598,2015-03-03,7703
B02598,2015-03-25,7625
B02598,2015-05-06,7579
B02598,2015-06-10,7564
B02598,2015-04-19,7560
B02598,2015-04-29,7551
B02598,2015-05-31,7543
B02598,2015-06-03,7487
B02598,2015-03-04,7484
B02598,2015-06-20,7467
B02598,2015-04-08,7431
B02598,2015-06-23,7385
B02598,2015-06-15,7377
B02598,2015-05-12,7372
B02598,2015-03-10,7368
B02598,2015-04-01,7355
B02598,2015-04-03,7346
B02598,2015-06-24,7337
B02598,2015-01-03,7287
B02598,2015-03-18,7253
B02598,2015-01-11,7181
B02598,2015-05-22,7141
B02598,2015-05-05,7089
B02598,2015-05-10,7081
B02598,2015-01-25,7065
B02598,2015-05-03,7042
B02598,2015-03-29,7039
B02598,2015-06-09,7032
B02598,2015-01-20,7000
B02598,2015-06-16,6946
B02598,2015-04-21,6944
B02598,2015-03-01,6940
B02598,2015-06-14,6940
B02598,2015-05-18,6937
B02598,2015-03-11,6936
B02598,2015-06-07,6910
B02598,2015-06-21,6901
B02598,2015-04-15,6883
B02598,2015-01-01,6882
B02598,2015-05-11,6819
B02598,2015-06-28,6771
B02598,2015-04-04,6675
B02598,2015-04-28,6669
B02598,2015-03-22,6659
B02598,2015-03-24,6647
B02598,2015-04-07,6640
B02598,2015-01-06,6636
B02598,2015-04-12,6630
B02598,2015-04-27,6581
B02598,2015-06-08,6573
B02598,2015-04-14,6515
B02598,2015-03-15,6481
B02598,2015-03-17,6399
B02598,2015-06-30,6311
B02598,2015-06-22,6271
B02598,2015-03-02,6254
B02598,2015-05-04,6242
B02598,2015-03-08,6187
B02598,2015-05-26,6178
B02598,2015-05-23,6156
B02598,2015-03-30,6144
B02598,2015-03-23,6053
B02598,2015-06-29,5847
B02598,2015-03-09,5726
B02598,2015-01-26,5722
B02598,2015-04-05,5704
B02598,2015-04-13,5678
B02598,2015-01-05,5674
B02598,2015-03-16,5540
B02598,2015-01-19,5460
B02598,2015-04-06,5324
B02598,2015-05-24,5303
B02598,2015-01-04,5209
B02598,2015-01-02,4730
B02598,2015-05-25,4614
B02598,2015-01-27,2860
B02617,2015-02-14,17088
B02617,2015-02-13,17051
B02617,2015-02-20,16906
B02617,2015-02-21,16208
B02617,2015-01-31,15888
B02617,2015-02-06,15445
B02617,2015-01-30,14898
B02617,2015-02-19,14781
B02617,2015-02-15,14779
B02617,2015-02-27,14667
B02617,2015-02-05,14563
B02617,2015-02-26,14509
B02617,2015-02-12,14347
B02617,2015-01-24,14294
B02617,2015-02-28,14020
B02617,2015-01-10,14006
B02617,2015-02-24,13755
B02617,2015-02-07,13723
B02617,2015-01-08,13633
B02617,2015-02-01,13534
B02617,2015-01-09,13354
B02617,2015-01-23,13202
B02617,2015-01-16,13095
B02617,2015-01-18,13059
B02617,2015-05-16,12941
B02617,2015-02-25,12887
B02617,2015-01-17,12885
B02617,2015-02-11,12858
B02617,2015-04-24,12815
B02617,2015-01-15,12692
B02617,2015-02-03,12687
B02617,2015-01-29,12647
B02617,2015-06-27,12645
B02617,2015-04-25,12585
B02617,2015-03-14,12533
B02617,2015-02-17,12479
B02617,2015-03-20,12444
B02617,2015-02-02,12312
B02617,2015-01-22,12233
B02617,2015-04-18,12100
B02617,2015-02-04,12056
B02617,2015-01-14,12048
B02617,2015-02-18,12036
B02617,2015-04-23,12029
B02617,2015-02-16,11951
B02617,2015-01-13,11894
B02617,2015-03-06,11862
B02617,2015-02-23,11763
B02617,2015-03-28,11739
B02617,2015-05-02,11721
B02617,2015-01-07,11601
B02617,2015-02-10,11491
B02617,2015-03-07,11319
B02617,2015-05-15,11298
B02617,2015-05-30,11129
B02617,2015-01-21,11104
B02617,2015-04-17,11080
