Base,Total Trips,Maximum Trips,Minimum Trips,Start Date,End Date,Total Days,Average Trips/Day,Most Active Day,Least Active Day
B02617,248444,2500,377,2015-01-01,2015-06-30,181,1372.6187845303868,2015-02-13,2015-04-05
B02598,1441905,12559,2860,2015-01-01,2015-06-30,181,7966.325966850829,2015-02-13,2015-01-27
B02682,1943107,17088,4322,2015-01-01,2015-06-30,181,10735.397790055249,2015-02-14,2015-01-27
B02764,3057302,37329,4454,2015-01-01,2015-06-30,181,16891.17127071823,2015-06-27,2015-01-27
B02512,5013875,46134,12271,2015-01-01,2015-06-30,181,27700.96685082873,2015-02-14,2015-01-27
B02765,1097063,11235,937,2015-01-01,2015-06-30,181,6061.121546961326,2015-06-27,2015-01-27
B02835,26421,2470,300,2015-01-01,2015-06-30,181,145.97237569060775,2015-06-27,2015-06-08
B02836,1990,103,40,2015-01-01,2015-06-30,181,10.994475138121548,2015-06-27,2015-06-03
