Total Trips,Maximum Trips,Minimum Trips,Start Date,End Date,Total Days,Average Trips/Day,Most Active Day,Least Active Day,Max Active Vehicles,Min Active Vehicles
303,15,1,2015-01-01,2015-08-31,243,1.2469135802469136,2015-05-09,2015-04-05,8,1
366,15,1,2015-01-01,2015-08-31,243,1.5061728395061729,2015-04-24,2015-04-04,7,1
2043,70,5,2015-01-01,2015-08-31,243,8.407407407407407,2015-06-24,2015-07-11,7,2
2281,77,5,2015-01-01,2015-08-31,243,9.386831275720164,2015-04-28,2015-04-20,8,1
984,40,1,2015-01-01,2015-08-31,243,4.049382716049383,2015-06-10,2015-04-04,9,1
372,14,1,2015-01-01,2015-08-31,243,1.5308641975308641,2015-04-21,2015-04-18,12,1
198,18,1,2015-01-01,2015-08-31,243,0.8148148148148148,2015-06-24,2015-04-06,5,1
464,20,4,2015-01-01,2015-08-31,243,1.9094650205761317,2015-06-06,2015-07-10,15,3
590,17,3,2015-01-01,2015-08-31,243,2.42798353909465,2015-05-09,2015-05-07,5,1
189,8,1,2015-01-01,2015-08-31,243,0.7777777777777778,2015-05-21,2015-04-05,6,1
437,18,2,2015-01-01,2015-08-31,243,1.7983539094650205,2015-04-01,2015-06-16,7,2
446,18,1,2015-01-01,2015-08-31,243,1.8353909465020577,2015-07-31,2015-07-08,3,1
376,7,6,2015-01-01,2015-08-31,243,1.5473251028806585,2015-05-01,2015-04-01,7,5
28413,575,25,2015-01-01,2015-08-31,243,116.92592592592592,2015-06-24,2015-01-27,154,15
11808,226,2,2015-01-01,2015-08-31,243,48.592592592592595,2015-06-13,2015-03-30,1,1
90,7,1,2015-01-01,2015-08-31,243,0.37037037037037035,2015-05-10,2015-04-01,5,1
36199,1511,994,2015-01-01,2015-08-31,243,148.96707818930042,2015-04-18,2015-04-06,430,367
1161,61,1,2015-01-01,2015-08-31,243,4.777777777777778,2015-07-28,2015-07-05,25,1
7376,179,73,2015-01-01,2015-08-31,243,30.353909465020575,2015-05-20,2015-04-19,1,1
7338,316,31,2015-01-01,2015-08-31,243,30.19753086419753,2015-05-10,2015-04-08,13,4
219,10,1,2015-01-01,2015-08-31,243,0.9012345679012346,2015-04-23,2015-04-11,4,1
1419,51,6,2015-01-01,2015-08-31,243,5.839506172839506,2015-04-22,2015-04-08,3,1
246,8,1,2015-01-01,2015-08-31,243,1.0123456790123457,2015-05-15,2015-04-03,5,1
1494,52,6,2015-01-01,2015-08-31,243,6.148148148148148,2015-04-17,2015-04-30,12,4
342,25,2,2015-01-01,2015-08-31,243,1.4074074074074074,2015-04-01,2015-04-16,3,1
7,3,1,2015-01-01,2015-08-31,243,0.02880658436213992,2015-06-26,2015-06-25,1,1
66,28,1,2015-01-01,2015-08-31,243,0.2716049382716049,2015-04-01,2015-04-03,10,1
1952,61,1,2015-01-01,2015-08-31,243,8.03292181069959,2015-05-28,2015-04-19,5,1
3445,177,73,2015-01-01,2015-08-31,243,14.176954732510287,2015-04-24,2015-04-06,24,10
1232,44,1,2015-01-01,2015-08-31,243,5.0699588477366255,2015-05-15,2015-07-27,4,1
2793,99,10,2015-01-01,2015-08-31,243,11.493827160493828,2015-05-20,2015-05-25,11,2
42,42,42,2015-01-01,2015-08-31,243,0.1728395061728395,2015-04-01,2015-04-01,1,1
2852,55,1,2015-01-01,2015-08-31,243,11.736625514403292,2015-06-11,2015-04-06,22,1
3816,246,45,2015-01-01,2015-08-31,243,15.703703703703704,2015-04-02,2015-06-22,13,8
142,60,23,2015-01-01,2015-08-31,243,0.5843621399176955,2015-06-01,2015-04-01,1,1
8458,725,115,2015-01-01,2015-08-31,243,34.806584362139915,2015-07-28,2015-08-16,26,15
7642,115,33,2015-01-01,2015-08-31,243,31.448559670781894,2015-05-01,2015-04-04,13,6
464,65,2,2015-01-01,2015-08-31,243,1.9094650205761317,2015-06-22,2015-06-19,22,2
1752,114,39,2015-01-01,2015-08-31,243,7.209876543209877,2015-06-17,2015-06-12,14,7
2702,95,1,2015-01-01,2015-08-31,243,11.119341563786008,2015-07-13,2015-04-04,10,1
740,10,10,2015-01-01,2015-08-31,243,3.045267489711934,2015-04-01,2015-04-01,10,10
9409,218,46,2015-01-01,2015-08-31,243,38.7201646090535,2015-06-06,2015-04-07,9,7
7868,286,238,2015-01-01,2015-08-31,243,32.37860082304527,2015-06-02,2015-06-15,20,20
12668,612,268,2015-01-01,2015-08-31,243,52.13168724279836,2015-07-03,2015-07-09,107,67
25342,1137,215,2015-01-01,2015-08-31,243,104.2880658436214,2015-01-31,2015-01-27,123,72
40876,649,306,2015-01-01,2015-08-31,243,168.21399176954733,2015-05-02,2015-05-03,29,20
143,14,1,2015-01-01,2015-08-31,243,0.588477366255144,2015-06-13,2015-06-23,3,1
