Total Trips,Maximum Trips,Minimum Trips,Start Date,End Date,Total Days,Average Trips/Day,Most Active Day,Least Active Day,Max Active Vehicles,Min Active Vehicles
28420,614,217,2015-01-01,2015-08-31,243,116.95473251028807,2015-03-14,2015-03-02,78,53
64036,1235,291,2015-01-01,2015-08-31,243,263.52263374485597,2015-03-01,2015-01-27,76,37
20148,465,208,2015-01-01,2015-08-31,243,82.91358024691358,2015-03-14,2015-04-28,55,38
87380,1346,120,2015-01-01,2015-08-31,243,359.5884773662551,2015-07-18,2015-01-27,64,20
21656,1029,148,2015-01-01,2015-08-31,243,89.11934156378601,2015-05-03,2015-06-09,58,19
171506,2230,682,2015-01-01,2015-08-31,243,705.7860082304527,2015-07-31,2015-03-01,82,59
2704,95,1,2015-01-01,2015-08-31,243,11.127572016460906,2015-04-01,2015-01-03,19,1
70868,1127,249,2015-01-01,2015-08-31,243,291.63786008230454,2015-02-14,2015-01-27,90,42
8226,252,48,2015-01-01,2015-08-31,243,33.851851851851855,2015-04-21,2015-05-31,18,7
55828,1315,367,2015-01-01,2015-08-31,243,229.7448559670782,2015-02-20,2015-01-27,124,65
72205,1079,87,2015-01-01,2015-08-31,243,297.13991769547323,2015-02-26,2015-01-01,280,43
22662,912,577,2015-01-01,2015-08-31,243,93.25925925925925,2015-05-10,2015-05-18,88,72
14874,268,214,2015-01-01,2015-08-31,243,61.20987654320987,2015-04-02,2015-05-08,23,22
77879,711,91,2015-01-01,2015-08-31,243,320.4897119341564,2015-02-20,2015-01-27,68,15
19435,868,502,2015-01-01,2015-08-31,243,79.97942386831275,2015-04-18,2015-04-28,79,68
14201,265,64,2015-01-01,2015-08-31,243,58.440329218106996,2015-04-16,2015-04-12,14,5
40204,385,20,2015-01-01,2015-08-31,243,165.4485596707819,2015-04-16,2015-01-27,100,7
34,3,1,2015-01-01,2015-08-31,243,0.13991769547325103,2015-04-30,2015-04-02,3,1
12021,377,17,2015-01-01,2015-08-31,243,49.46913580246913,2015-05-28,2015-04-10,40,9
17632,605,270,2015-01-01,2015-08-31,243,72.559670781893,2015-05-01,2015-05-06,72,54
2991,56,19,2015-01-01,2015-08-31,243,12.308641975308642,2015-05-19,2015-05-01,7,5
11687,301,77,2015-01-01,2015-08-31,243,48.09465020576132,2015-05-06,2015-05-24,28,12
103256,1492,179,2015-01-01,2015-08-31,243,424.9218106995885,2015-02-20,2015-01-27,91,22
84085,1944,537,2015-01-01,2015-08-31,243,346.02880658436214,2015-01-31,2015-01-27,176,89
3434,84,27,2015-01-01,2015-08-31,243,14.131687242798353,2015-07-04,2015-06-01,9,4
74810,1123,244,2015-01-01,2015-08-31,243,307.86008230452677,2015-02-20,2015-01-27,137,68
3387,59,20,2015-01-01,2015-08-31,243,13.938271604938272,2015-06-01,2015-06-29,14,5
5038,170,2,2015-01-01,2015-08-31,243,20.732510288065843,2015-06-17,2015-06-28,24,2
2733,127,18,2015-01-01,2015-08-31,243,11.246913580246913,2015-07-09,2015-04-11,10,8
77630,1362,294,2015-01-01,2015-08-31,243,319.4650205761317,2015-02-24,2015-01-27,129,49
3423,62,5,2015-01-01,2015-08-31,243,14.08641975308642,2015-01-09,2015-01-03,45,5
186078,2061,525,2015-01-01,2015-08-31,243,765.7530864197531,2015-02-20,2015-01-27,168,68
27963,1916,636,2015-01-01,2015-08-31,243,115.07407407407408,2015-06-01,2015-06-28,96,65
2863,86,18,2015-01-01,2015-08-31,243,11.781893004115226,2015-04-24,2015-04-12,10,2
9256,263,61,2015-01-01,2015-08-31,243,38.09053497942387,2015-04-15,2015-05-31,23,10
65266,1323,836,2015-01-01,2015-08-31,243,268.5843621399177,2015-04-04,2015-06-30,148,120
86477,2766,415,2015-01-01,2015-08-31,243,355.87242798353907,2015-02-13,2015-01-27,178,70
244,244,244,2015-01-01,2015-08-31,243,1.0041152263374487,2015-06-01,2015-06-01,1,1
2652,116,60,2015-01-01,2015-08-31,243,10.91358024691358,2015-06-27,2015-06-21,12,7
3155,89,7,2015-01-01,2015-08-31,243,12.983539094650206,2015-05-26,2015-07-28,6,5
29454,746,250,2015-01-01,2015-08-31,243,121.20987654320987,2015-06-27,2015-07-17,52,30
65168,1407,796,2015-01-01,2015-08-31,243,268.18106995884773,2015-03-14,2015-03-05,162,128
16715,343,1,2015-01-01,2015-08-31,243,68.78600823045268,2015-06-17,2015-04-01,99,1
9331,305,11,2015-01-01,2015-08-31,243,38.39917695473251,2015-02-11,2015-01-27,89,7
3182,99,9,2015-01-01,2015-08-31,243,13.094650205761317,2015-06-30,2015-05-24,7,1
72926,3763,939,2015-01-01,2015-08-31,243,300.10699588477365,2015-01-31,2015-01-27,213,106
13446,182,33,2015-01-01,2015-08-31,243,55.333333333333336,2015-05-19,2015-07-01,14,7
579,58,6,2015-01-01,2015-08-31,243,2.382716049382716,2015-05-01,2015-05-17,6,1
14685,420,26,2015-01-01,2015-08-31,243,60.4320987654321,2015-06-11,2015-07-11,26,7
19078,342,10,2015-01-01,2015-08-31,243,78.51028806584362,2015-05-06,2015-04-04,56,10
4579,210,74,2015-01-01,2015-08-31,243,18.843621399176953,2015-05-18,2015-05-17,16,9
14357,293,156,2015-01-01,2015-08-31,243,59.08230452674897,2015-04-26,2015-05-05,19,6
18518,432,213,2015-01-01,2015-08-31,243,76.20576131687243,2015-03-01,2015-04-16,81,59
3,1,1,2015-01-01,2015-08-31,243,0.012345679012345678,2015-03-02,2015-03-02,1,1
10083,120,49,2015-01-01,2015-08-31,243,41.49382716049383,2015-07-03,2015-06-02,14,7
35047,799,436,2015-01-01,2015-08-31,243,144.22633744855966,2015-03-07,2015-03-01,75,49
104247,926,265,2015-01-01,2015-08-31,243,429.0,2015-05-02,2015-04-13,79,51
3512,89,7,2015-01-01,2015-08-31,243,14.452674897119342,2015-05-02,2015-04-23,13,2
16451,144,30,2015-01-01,2015-08-31,243,67.69958847736625,2015-02-20,2015-01-27,17,9
8961,193,90,2015-01-01,2015-08-31,243,36.876543209876544,2015-05-16,2015-05-17,30,10
5187,157,13,2015-01-01,2015-08-31,243,21.34567901234568,2015-05-30,2015-04-05,9,4
32057,1038,144,2015-01-01,2015-08-31,243,131.9218106995885,2015-07-28,2015-07-26,23,4
9835,483,219,2015-01-01,2015-08-31,243,40.47325102880659,2015-05-16,2015-05-27,40,27
146845,4297,1329,2015-01-01,2015-08-31,243,604.3004115226338,2015-06-20,2015-06-30,128,96
1819,40,1,2015-01-01,2015-08-31,243,7.48559670781893,2015-06-11,2015-04-04,8,1
4369,49,2,2015-01-01,2015-08-31,243,17.979423868312757,2015-03-27,2015-01-10,9,2
7831,108,37,2015-01-01,2015-08-31,243,32.22633744855967,2015-06-21,2015-05-05,11,6
12858,133,91,2015-01-01,2015-08-31,243,52.91358024691358,2015-04-05,2015-07-26,10,6
131440,1964,1072,2015-01-01,2015-08-31,243,540.9053497942386,2015-05-02,2015-05-27,135,105
83,70,13,2015-01-01,2015-08-31,243,0.34156378600823045,2015-04-01,2015-04-02,11,7
3264,50,16,2015-01-01,2015-08-31,243,13.432098765432098,2015-04-01,2015-05-15,8,6
154,154,154,2015-01-01,2015-08-31,243,0.6337448559670782,2015-06-01,2015-06-01,1,1
24274,548,135,2015-01-01,2015-08-31,243,99.89300411522633,2015-01-31,2015-01-27,63,37
6008,154,45,2015-01-01,2015-08-31,243,24.724279835390945,2015-05-04,2015-05-09,13,6
30341,1232,812,2015-01-01,2015-08-31,243,124.86008230452676,2015-03-28,2015-03-17,130,100
2756,55,34,2015-01-01,2015-08-31,243,11.34156378600823,2015-07-22,2015-06-29,30,2
7287,176,65,2015-01-01,2015-08-31,243,29.987654320987655,2015-05-27,2015-04-05,19,10
2227,94,10,2015-01-01,2015-08-31,243,9.164609053497943,2015-05-27,2015-04-02,5,5
3154,107,18,2015-01-01,2015-08-31,243,12.979423868312757,2015-04-08,2015-04-22,8,1
12038,464,237,2015-01-01,2015-08-31,243,49.53909465020576,2015-06-29,2015-06-21,63,43
138278,1783,791,2015-01-01,2015-08-31,243,569.0452674897119,2015-03-14,2015-06-30,166,123
518,12,1,2015-01-01,2015-08-31,243,2.1316872427983538,2015-04-30,2015-04-11,6,1
33398,578,1,2015-01-01,2015-08-31,243,137.440329218107,2015-05-22,2015-06-13,110,1
5867,200,53,2015-01-01,2015-08-31,243,24.144032921810698,2015-04-04,2015-05-09,19,5
18,12,6,2015-01-01,2015-08-31,243,0.07407407407407407,2015-04-02,2015-02-02,1,1
12902,355,141,2015-01-01,2015-08-31,243,53.09465020576132,2015-05-02,2015-04-07,27,20
4847,112,41,2015-01-01,2015-08-31,243,19.94650205761317,2015-05-06,2015-05-17,18,10
2482,47,5,2015-01-01,2015-08-31,243,10.213991769547325,2015-04-22,2015-05-25,24,4
52950,1430,319,2015-01-01,2015-08-31,243,217.90123456790124,2015-02-13,2015-01-27,151,54
4986,72,6,2015-01-01,2015-08-31,243,20.51851851851852,2015-04-08,2015-07-04,25,3
3027,150,7,2015-01-01,2015-08-31,243,12.45679012345679,2015-07-08,2015-07-30,10,7
194,10,1,2015-01-01,2015-08-31,243,0.7983539094650206,2015-06-29,2015-06-11,6,1
261,8,1,2015-01-01,2015-08-31,243,1.0740740740740742,2015-04-12,2015-04-03,7,1
20,20,20,2015-01-01,2015-08-31,243,0.0823045267489712,2015-01-01,2015-01-01,1,1
697,16,1,2015-01-01,2015-08-31,243,2.8683127572016462,2015-05-13,2015-04-05,7,1
4115,119,8,2015-01-01,2015-08-31,243,16.93415637860082,2015-05-20,2015-05-24,34,3
84,6,1,2015-01-01,2015-08-31,243,0.345679012345679,2015-04-18,2015-04-02,6,1
25951,476,2,2015-01-01,2015-08-31,243,106.79423868312757,2015-05-06,2015-03-29,64,1
251,7,1,2015-01-01,2015-08-31,243,1.0329218106995885,2015-05-07,2015-04-03,5,1
47545,628,27,2015-01-01,2015-08-31,243,195.65843621399176,2015-02-03,2015-01-01,148,15
142032,1385,31,2015-01-01,2015-08-31,243,584.4938271604939,2015-01-13,2015-01-27,131,24
64,64,64,2015-01-01,2015-08-31,243,0.26337448559670784,2015-04-01,2015-04-01,1,1
1457,79,13,2015-01-01,2015-08-31,243,5.995884773662551,2015-05-19,2015-05-25,20,8
2031,51,13,2015-01-01,2015-08-31,243,8.358024691358025,2015-06-01,2015-07-05,15,5
364,12,1,2015-01-01,2015-08-31,243,1.4979423868312758,2015-05-20,2015-04-15,7,1
2299,94,1,2015-01-01,2015-08-31,243,9.460905349794238,2015-02-18,2015-01-02,36,1
908,18,1,2015-01-01,2015-08-31,243,3.736625514403292,2015-04-12,2015-06-01,4,1
903,21,1,2015-01-01,2015-08-31,243,3.7160493827160495,2015-04-28,2015-04-04,9,1
6202,134,52,2015-01-01,2015-08-31,243,25.522633744855966,2015-04-23,2015-04-01,19,11
102,1,1,2015-01-01,2015-08-31,243,0.41975308641975306,2015-04-01,2015-04-01,1,1
832,59,17,2015-01-01,2015-08-31,243,3.4238683127572016,2015-04-01,2015-06-20,24,12
98049,919,3,2015-01-01,2015-08-31,243,403.4938271604938,2015-07-08,2015-01-27,130,3
12288,172,10,2015-01-01,2015-08-31,243,50.5679012345679,2015-02-27,2015-01-27,46,3
11467,240,51,2015-01-01,2015-08-31,243,47.18930041152263,2015-04-11,2015-06-10,17,11
27553,737,82,2015-01-01,2015-08-31,243,113.38683127572017,2015-04-29,2015-04-04,261,46
29410,394,10,2015-01-01,2015-08-31,243,121.02880658436214,2015-02-03,2015-07-04,100,7
905,52,2,2015-01-01,2015-08-31,243,3.7242798353909463,2015-07-15,2015-07-04,19,1
11875,235,9,2015-01-01,2015-08-31,243,48.86831275720164,2015-03-12,2015-05-24,62,7
3758,79,19,2015-01-01,2015-08-31,243,15.465020576131687,2015-06-21,2015-04-21,6,3
7468,121,7,2015-01-01,2015-08-31,243,30.732510288065843,2015-02-03,2015-04-04,34,3
132,7,1,2015-01-01,2015-08-31,243,0.5432098765432098,2015-04-14,2015-04-02,1,1
1488,83,28,2015-01-01,2015-08-31,243,6.1234567901234565,2015-07-18,2015-07-13,15,9
3636,98,2,2015-01-01,2015-08-31,243,14.962962962962964,2015-07-22,2015-04-04,17,1
742,25,1,2015-01-01,2015-08-31,243,3.0534979423868314,2015-04-23,2015-04-12,9,1
16544,443,38,2015-01-01,2015-08-31,243,68.08230452674897,2015-03-12,2015-02-07,106,25
1469,44,1,2015-01-01,2015-08-31,243,6.045267489711934,2015-01-21,2015-01-27,34,1
9664,311,42,2015-01-01,2015-08-31,243,39.76954732510288,2015-03-04,2015-03-21,77,18
11,6,1,2015-01-01,2015-08-31,243,0.04526748971193416,2015-06-08,2015-07-22,1,1
60200,1724,339,2015-01-01,2015-08-31,243,247.7366255144033,2015-02-28,2015-01-27,99,46
7329,147,1,2015-01-01,2015-08-31,243,30.160493827160494,2015-05-05,2015-04-05,11,1
22135,407,53,2015-01-01,2015-08-31,243,91.09053497942386,2015-05-05,2015-01-01,127,32
309,10,1,2015-01-01,2015-08-31,243,1.271604938271605,2015-07-23,2015-04-04,6,1
9255,129,2,2015-01-01,2015-08-31,243,38.08641975308642,2015-06-03,2015-07-05,39,1
8093,382,159,2015-01-01,2015-08-31,243,33.30452674897119,2015-06-21,2015-06-30,26,18
136,9,1,2015-01-01,2015-08-31,243,0.5596707818930041,2015-04-21,2015-04-05,6,1
1051,32,6,2015-01-01,2015-08-31,243,4.325102880658436,2015-04-23,2015-04-04,12,4
5176,62,1,2015-01-01,2015-08-31,243,21.300411522633745,2015-02-03,2015-03-01,19,1
38,15,10,2015-01-01,2015-08-31,243,0.15637860082304528,2015-07-01,2015-06-01,1,1
1740,27,3,2015-01-01,2015-08-31,243,7.160493827160494,2015-07-23,2015-05-10,20,2
16153,260,84,2015-01-01,2015-08-31,243,66.47325102880659,2015-05-07,2015-04-04,107,63
394,30,1,2015-01-01,2015-08-31,243,1.6213991769547325,2015-06-04,2015-06-13,18,1
296,13,1,2015-01-01,2015-08-31,243,1.2181069958847737,2015-04-29,2015-06-03,3,1
204,13,1,2015-01-01,2015-08-31,243,0.8395061728395061,2015-06-18,2015-06-07,9,1
944,48,2,2015-01-01,2015-08-31,243,3.8847736625514404,2015-06-09,2015-06-07,27,2
841,19,1,2015-01-01,2015-08-31,243,3.460905349794239,2015-07-26,2015-04-10,3,1
929,39,1,2015-01-01,2015-08-31,243,3.8230452674897117,2015-01-19,2015-02-08,38,1
3830,69,3,2015-01-01,2015-08-31,243,15.761316872427983,2015-06-09,2015-07-25,24,3
127,5,1,2015-01-01,2015-08-31,243,0.522633744855967,2015-06-20,2015-04-03,4,1
17653,404,218,2015-01-01,2015-08-31,243,72.64609053497942,2015-03-07,2015-04-19,34,18
137,13,1,2015-01-01,2015-08-31,243,0.5637860082304527,2015-03-17,2015-03-05,3,1
2870,55,1,2015-01-01,2015-08-31,243,11.810699588477366,2015-04-16,2015-05-25,13,1
1507,32,2,2015-01-01,2015-08-31,243,6.20164609053498,2015-05-08,2015-04-08,14,2
98,98,98,2015-01-01,2015-08-31,243,0.40329218106995884,2015-07-01,2015-07-01,1,1
692,15,1,2015-01-01,2015-08-31,243,2.847736625514403,2015-04-02,2015-05-04,1,1
9925,516,195,2015-01-01,2015-08-31,243,40.84362139917695,2015-05-16,2015-05-06,54,38
673,14,1,2015-01-01,2015-08-31,243,2.769547325102881,2015-07-04,2015-04-19,7,1
2331,64,2,2015-01-01,2015-08-31,243,9.592592592592593,2015-05-12,2015-06-28,5,1
26733,320,14,2015-01-01,2015-08-31,243,110.01234567901234,2015-02-04,2015-01-27,101,10
396,13,1,2015-01-01,2015-08-31,243,1.6296296296296295,2015-06-07,2015-06-21,7,1
115,11,1,2015-01-01,2015-08-31,243,0.4732510288065844,2015-06-30,2015-06-16,8,1
9375,154,60,2015-01-01,2015-08-31,243,38.58024691358025,2015-05-10,2015-04-07,24,15
2672,125,3,2015-01-01,2015-08-31,243,10.995884773662551,2015-05-22,2015-06-27,25,3
59,59,59,2015-01-01,2015-08-31,243,0.24279835390946503,2015-04-01,2015-04-01,1,1
98,69,12,2015-01-01,2015-08-31,243,0.40329218106995884,2015-04-01,2015-05-01,1,1
248,14,2,2015-01-01,2015-08-31,243,1.0205761316872428,2015-07-24,2015-04-06,6,1
44,2,1,2015-01-01,2015-08-31,243,0.18106995884773663,2015-04-08,2015-04-01,1,1
5707,80,8,2015-01-01,2015-08-31,243,23.48559670781893,2015-06-25,2015-04-04,19,4
16625,292,106,2015-01-01,2015-08-31,243,68.4156378600823,2015-06-06,2015-05-14,18,8
4089,106,13,2015-01-01,2015-08-31,243,16.82716049382716,2015-04-23,2015-05-24,30,4
1423,64,35,2015-01-01,2015-08-31,243,5.8559670781893,2015-06-12,2015-06-18,5,5
1885,36,10,2015-01-01,2015-08-31,243,7.757201646090535,2015-07-31,2015-04-19,4,2
521,17,1,2015-01-01,2015-08-31,243,2.1440329218106995,2015-04-17,2015-05-24,8,1
82,4,1,2015-01-01,2015-08-31,243,0.3374485596707819,2015-03-06,2015-03-04,2,1
2964,95,5,2015-01-01,2015-08-31,243,12.197530864197532,2015-05-20,2015-05-02,26,1
387,9,1,2015-01-01,2015-08-31,243,1.5925925925925926,2015-04-16,2015-04-22,9,1
695,33,16,2015-01-01,2015-08-31,243,2.860082304526749,2015-07-27,2015-07-02,14,5
697,39,1,2015-01-01,2015-08-31,243,2.8683127572016462,2015-07-21,2015-07-03,13,1
2886,127,69,2015-01-01,2015-08-31,243,11.876543209876543,2015-06-27,2015-06-22,19,13
17907,203,33,2015-01-01,2015-08-31,243,73.69135802469135,2015-03-04,2015-07-26,46,14
36,3,1,2015-01-01,2015-08-31,243,0.14814814814814814,2015-04-11,2015-04-01,2,1
2083,37,1,2015-01-01,2015-08-31,243,8.572016460905349,2015-06-11,2015-05-24,13,1
705,19,5,2015-01-01,2015-08-31,243,2.9012345679012346,2015-05-10,2015-04-03,11,2
10521,454,40,2015-01-01,2015-08-31,243,43.2962962962963,2015-03-28,2015-03-31,37,13
2194,30,4,2015-01-01,2015-08-31,243,9.02880658436214,2015-05-16,2015-01-16,10,2
3103,51,9,2015-01-01,2015-08-31,243,12.76954732510288,2015-06-10,2015-05-16,6,1
2902,91,22,2015-01-01,2015-08-31,243,11.94238683127572,2015-05-02,2015-07-08,15,11
837,28,1,2015-01-01,2015-08-31,243,3.4444444444444446,2015-01-12,2015-01-01,8,1
1014,18,1,2015-01-01,2015-08-31,243,4.172839506172839,2015-05-13,2015-04-13,12,1
814,36,1,2015-01-01,2015-08-31,243,3.3497942386831276,2015-04-20,2015-04-03,12,1
62,36,26,2015-01-01,2015-08-31,243,0.2551440329218107,2015-04-01,2015-07-01,1,1
1106,20,3,2015-01-01,2015-08-31,243,4.551440329218107,2015-07-16,2015-04-12,10,2
87,6,1,2015-01-01,2015-08-31,243,0.35802469135802467,2015-06-06,2015-04-04,4,1
3284,78,28,2015-01-01,2015-08-31,243,13.51440329218107,2015-04-18,2015-04-04,9,9
597,40,1,2015-01-01,2015-08-31,243,2.45679012345679,2015-05-21,2015-04-11,9,1
142,7,1,2015-01-01,2015-08-31,243,0.5843621399176955,2015-05-07,2015-04-04,5,1
49,35,14,2015-01-01,2015-08-31,243,0.20164609053497942,2015-07-01,2015-06-03,1,1
169,16,1,2015-01-01,2015-08-31,243,0.6954732510288066,2015-05-01,2015-06-07,6,1
498,23,1,2015-01-01,2015-08-31,243,2.049382716049383,2015-02-12,2015-01-01,17,1
7902,203,23,2015-01-01,2015-08-31,243,32.51851851851852,2015-02-03,2015-01-27,1,1
23331,542,265,2015-01-01,2015-08-31,243,96.01234567901234,2015-05-16,2015-05-25,41,33
5700,106,19,2015-01-01,2015-08-31,243,23.45679012345679,2015-05-11,2015-05-24,49,15
195,72,55,2015-01-01,2015-08-31,243,0.8024691358024691,2015-07-01,2015-04-01,1,1
309,18,3,2015-01-01,2015-08-31,243,1.271604938271605,2015-05-01,2015-05-24,9,1
281,16,1,2015-01-01,2015-08-31,243,1.1563786008230452,2015-07-17,2015-07-03,6,1
1594,54,2,2015-01-01,2015-08-31,243,6.559670781893004,2015-07-28,2015-07-08,11,1
