Total Trips,Maximum Trips,Minimum Trips,Start Date,End Date,Total Days,Average Trips/Day,Most Active Day,Least Active Day,Max Active Vehicles,Min Active Vehicles
93786,2408,629,2015-01-01,2015-02-28,59,1589.593220338983,2015-02-13,2015-01-27,281,112
540791,13062,2957,2015-01-01,2015-02-28,59,9165.949152542373,2015-02-13,2015-01-27,1216,434
725025,16999,4325,2015-01-01,2015-02-28,59,12288.559322033898,2015-02-14,2015-01-27,1590,596
662509,16448,4414,2015-01-01,2015-02-28,59,11228.966101694916,2015-02-14,2015-01-27,1523,600
1914449,45858,11998,2015-01-01,2015-02-28,59,32448.28813559322,2015-02-14,2015-01-27,4395,1619
193670,7824,921,2015-01-01,2015-02-28,59,3282.5423728813557,2015-02-20,2015-01-27,786,135
